RegionID,HexagonName,State,BirdPtID,Rest_Unit,ContSite,Date,Month,Day,Year,Time,SHARPTide,LowMarshCC,HighMarshCC,SaltMarshTBorderCC,BrackishTBorderCC,InvasivesCC,PannesChannelsCC,OpenWater,UplandCC,Wrack,DeadSnags,DomSp1,Sp1Percent,DomSp2,Sp2Percent,DomSp3,Sp3Percent,DomSp4,Sp4Percent,DomSp5,Sp5Percent,DomSp6,Sp6Percent,DomSp7,Sp7Percent,DomSp8,Sp8Percent,DomSp9,Sp9Percent,DomSp10,Sp10Percent,ObserverInitials,Comments
2,,MA,PL NAC,NA,YES,7/21/2023,7,21,2023,13:50,High/Rising,2,4,0,0,0,4,0,0,0,0,Spartina alternaflora (short),30,Spartina patens,15,Spartina alternaflora (tall),10,,,,,,,,,,,,,,,JGM,
2,41638,MA,PL REF North,NA,NA,7/21/2023,7,21,2023,13:25,High/Rising,3,6,0,0,0,2,0,0,0,0,Spartina patens,45,Spartina alternaflora (short),20,Spartina alternaflora (tall),10,Juncus gerardii,5,Distichlis spicata,5,,,,,,,,,,,JGM,
2,,MA,PL RUN North,YES,NA,7/21/2023,7,21,2023,13:00,High/Rising,0,4,0,0,0,5,0,0,0,1,Spartina alternaflora (short),35,Ruppia maritima,15,Spartina patens,10,,,,,,,,,,,,,,,JGM,
2,,MA,PL RUN South,YES,NA,7/21/2023,7,21,2023,12:40,Low/Rising,0,5,0,0,1,4,0,0.5,0,2,Spartina patens,35,Spartina alternaflora (short),25,Distichlis spicata,5,,,,,,,,,,,,,,,JGM,
2,41638,MA,PL REF South,NA,NA,7/21/2023,7,21,2023,12:30,Low/Rising,1,6,0,0,0,2,0,0,0,0,Spartina patens,40,Distichlis spicata,35,Juncus gerardii,10,Spartina alternaflora (short),5,Spartina alternaflora (tall),5,,,,,,,,,,,JGM,
2,,MA,DPR S NAC,NA,YES,7/21/2023,7,21,2023,11:30,Low/Rising,1,4,0,0,0,5,0,0,1,0,Ruppia maritima,35,Spartina alternaflora (short),30,Spartina patens,10,Spartina alternaflora (tall),5,,,,,,,,,,,,,JGM,
2,,MA,DPR S REF,NA,NA,7/21/2023,7,21,2023,11:10,Low/Rising,1,6,0,0,0,1,0,0,0,0,Spartina patens,40,Juncus gerardii,35,Distichlis spicata,15,Spartina alternaflora (short),5,Spartina alternaflora (tall),5,,,,,,,,,,,JGM,
2,,MA,DPR S REST,YES,NA,7/21/2023,7,21,2023,10:40,Low/Rising,1,5,3,0,0.5,2,0,0,0,0,Spartina alternaflora (short),40,Spartina patens,30,Iva frutescens,15,Spartina alternaflora (tall),5,,,,,,,,,,,,,JGM,
2,,MA,DPR N REST,YES,NA,7/21/2023,7,21,2023,10:10,Low/Rising,2,5,1,0,0,3,0,0,0,0,Spartina alternaflora (short),35,Juncus gerardii,25,Spartina patens,10,Spartina alternaflora (short),10,,,,,,,,,,,,,JGM,
2,,MA,DPR N REF,NA,NA,7/21/2023,7,21,2023,9:50,Low,2,6,0,0,0,2,0,0,0,0,Juncus gerardii,40,Spartina alternaflora (short),15,Spartina alternaflora (tall),10,Spartina patens,10,Glaux maritima,10,Distichlis spicata,5,,,,,,,,,JGM,
