"","PointID","Site","State","RegionNum","Treatment","VisitNum","runnel_age","Year","Point_X","Point_Y","SurveyWindow","SurveyDate","Month","Day","Observer","Tide","SurveyTime","TempF","Sky","WindSp","Noise","Site_Date","DistBand","AlphaCode","Count","feeding_guild","wetland_score"
"21","BCM SHARP2 - REF","Broad Cove","MA",2,"Reference",2,NA,2023,-71.13286,41.79348,2,"6/28/2023",6,28,"JLG","Low","8:13",68,2,0,2,"BCM SHARP2 - REF 6/28/2023  ","0-50m","ALFL",0,"AERIAL",3
"22","WPTL REF","Winnapaug Town Land","RI",3,"Reference",1,NA,2023,-71.765935,41.336478,1,"5/20/2023",5,20,"JH","Low/Rising","820",60,2,2,1,"WPTL REF 5/20/2023  ","0-50m","ALFL",0,"AERIAL",3
"23","MD REF","Middlebridge","RI",3,"Reference",2,NA,2023,-71.449401,41.460094,3,"7/10/2023",7,10,"JH","Low/Falling","814",70,2,1,1,"MD REF 7/10/2023  ","0-50m","ALFL",0,"AERIAL",3
"24","Essex RUN South","Essex","MA",2,"Runnel",1,1,2023,-70.7728,42.651456,1,"6/15/2023",6,15,"JLG","Low/Rising","6:16",62,2,1,1,"Essex RUN South 6/15/2023  ","0-50m","ALFL",0,"AERIAL",3
"25","Essex NAC North","Essex","MA",2,"No Action",2,NA,2022,-70.776608,42.651283,2,"6/20/2022",6,20,"JLG","High/Falling","9:34",62,0,2,1,"Essex NAC North 6/20/2022  ","0-50m","ALFL",0,"AERIAL",3
"26","DPR N Rest","Plum Island","MA",2,"Runnel",2,2,2021,-70.8095,42.7798,3,"7/7/2021",7,7,"JGM/NA","High/Rising","9:20",73,0,3,1,"DPR N Rest 7/7/2021  ","0-50m","ALFL",0,"AERIAL",3
"27","Essex NAC North","Essex","MA",2,"No Action",1,NA,2023,-70.776608,42.651283,1,"6/15/2023",6,15,"JLG","Low/Rising","7:25",62,2,1,1,"Essex NAC North 6/15/2023  ","0-50m","ALFL",0,"AERIAL",3
"28","DPS S NAC","Plum Island","MA",2,"No Action",1,NA,2021,-70.8107,42.7738,2,"6/23/2021",6,23,"JLG/JGM","Low/Rising","7:45",63,0,3,1,"DPS S NAC 6/23/2021  ","0-50m","ALFL",0,"AERIAL",3
"29","JP NAC","Jacob's Point","RI",3,"No Action",1,NA,2021,-71.288352,41.712839,1,"5/24/2021",5,24,"ADF","High/Falling","9:00",60,0,1,1,"JP NAC 5/24/2021  ","0-50m","ALFL",0,"AERIAL",3
"30","WPF RUN","Weekapaug Foundation","RI",3,"Runnel",1,4,2021,-71.7759,41.3301,1,"5/10/2021",5,10,"ADF","High/Rising","6:30",46,2,2,1,"WPF RUN 5/10/2021  ","0-50m","ALFL",0,"AERIAL",3
"31","MM SHARP1","Moody Marsh","ME",2,"Runnel",2,12,2023,-70.59333,43.2664,2,"7/17/2023",7,17,"JLG","Low","8:00",72,1,0,1,"MM SHARP1 7/17/2023  ","0-50m","ALFL",0,"AERIAL",3
"32","Kents NAC","Kent's Island","MA",2,"No Action",2,NA,2022,-70.873811,42.758717,2,"7/5/2022",7,5,"JLG","High/Falling","9:12",73,1,1,1,"Kents NAC 7/5/2022  ","0-50m","ALFL",0,"AERIAL",3
"33","Kents NAC","Kent's Island","MA",2,"No Action",1,NA,2023,-70.873811,42.758717,1,"6/6/2023",6,6,"JLG","Low/Falling","9:57",61,1,2,1,"Kents NAC 6/6/2023  ","0-50m","ALFL",0,"AERIAL",3
"34","MD REF","Middlebridge","RI",3,"Reference",1,NA,2023,-71.449401,41.460094,2,"6/23/2023",6,23,"JH","Low","604",62,2,1,0,"MD REF 6/23/2023  ","0-50m","ALFL",0,"AERIAL",3
"35","MD REF","Middlebridge","RI",3,"Reference",2,NA,2022,41.460094,-71.449401,3,"6/29/2022",6,29,"JH","High/Falling","1044",74,0,2,1,"MD REF 6/29/2022  ","0-50m","ALFL",0,"AERIAL",3
"36","BCM SHARP3 - RUN","Broad Cove","MA",2,"Runnel",2,6,2023,-71.13327,41.7925,2,"6/28/2023",6,28,"JLG","Low","7:59",68,2,0,2,"BCM SHARP3 - RUN 6/28/2023  ","0-50m","ALFL",0,"AERIAL",3
"37","SP REF","Sapowet","RI",3,"Reference",1,NA,2023,-71.207475,41.582289,2,"6/4/2023",6,4,"JH","High/Rising","624",50,2,2,0,"SP REF 6/4/2023  ","0-50m","ALFL",0,"AERIAL",3
"38","SP REF","Sapowet","RI",3,"Reference",2,NA,2023,-71.207475,41.582289,3,"7/9/2023",7,10,"JH","Low/Falling","649",76,1,0,0,"SP REF 7/9/2023  ","0-50m","ALFL",0,"AERIAL",3
"39","RM REF","Round Marsh","RI",3,"Reference",2,NA,2023,-71.372664,41.509994,3,"6/26/2023",6,26,"JH","Low","716",68,2,2,2,"RM REF 6/26/2023  ","0-50m","ALFL",0,"AERIAL",3
"40","WPTL RUN","Winnapaug Town Land","RI",3,"Runnel",1,10,2023,-71.76859,41.330282,1,"5/20/2023",5,20,"JH","Low/Rising","707",59,2,1,1,"WPTL RUN 5/20/2023  ","0-50m","ALFL",0,"AERIAL",3
"41","WPTL RUN","Winnapaug Town Land","RI",3,"Runnel",2,10,2023,-71.76859,41.330282,2,"6/2/2023",6,2,"JH","High/Rising","623",59,0,1,1,"WPTL RUN 6/2/2023  ","0-50m","ALFL",0,"AERIAL",3
"42","BCM SHARP2 - REF","Broad Cove","MA",2,"Reference",2,NA,2022,-71.13286,41.79348,2,"6/22/2022",6,22,"JLG","Low/Falling","7:21",61,2,1,2,"BCM SHARP2 - REF 6/22/2022  ","0-50m","ALFL",0,"AERIAL",3
"43","BCM SHARP2 - REF","Broad Cove","MA",2,"Reference",1,NA,2023,-71.13286,41.79348,1,"5/22/2023",5,22,"JLG/LG","Low/Rising","7:28",54,0,1,2,"BCM SHARP2 - REF 5/22/2023  ","0-50m","ALFL",0,"AERIAL",3
"44","Kents NAC","Kent's Island","MA",2,"No Action",1,NA,2022,-70.873811,42.758717,1,"5/31/2022",5,31,"JLG","Low/Rising","10:02",73,0,1,2,"Kents NAC 5/31/2022  ","0-50m","ALFL",0,"AERIAL",3
"45","Essex RUN South","Essex","MA",2,"Runnel",1,0,2022,-70.7728,42.651456,1,"5/27/2022",5,27,"JLG","Low/Rising","6:57",61,1,2,3,"Essex RUN South 5/27/2022  ","0-50m","ALFL",0,"AERIAL",3
"46","Essex RUN South","Essex","MA",2,"Runnel",2,0,2022,-70.7728,42.651456,2,"6/20/2022",6,20,"JLG","High/Falling","10:13",66,0,1,2,"Essex RUN South 6/20/2022  ","0-50m","ALFL",0,"AERIAL",3
"47","Essex RUN South","Essex","MA",2,"Runnel",2,1,2023,-70.7728,42.651456,2,"7/19/2023",7,19,"JGM","Low/Rising","845",75,2,2,2,"Essex RUN South 7/19/2023  ","0-50m","ALFL",0,"AERIAL",3
"48","BCM SHARP3 - RUN","Broad Cove","MA",2,"Runnel",1,6,2023,-71.13327,41.7925,1,"5/22/2023",5,22,"JLG/LG","Low/Rising","7:28",54,0,1,2,"BCM SHARP3 - RUN 5/22/2023  ","0-50m","ALFL",0,"AERIAL",3
"49","CN RUN","Canonchet","RI",3,"Runnel",1,8,2023,-71.456262,41.44248,2,"6/24/2023",6,24,"JH","Low","611",67,2,0,1,"CN RUN 6/24/2023  ","0-50m","ALFL",0,"AERIAL",3
"50","PLHA RUN South","Plum Island","MA",2,"Runnel",1,4,2023,-70.805311,42.757836,1,"6/12/2023",6,12,"JLG","High/Falling","8:31",61,2,1,1,"PLHA RUN South 6/12/2023  ","0-50m","ALFL",0,"AERIAL",3
"51","Ipswich NAC East","Ipswich","MA",2,"No Action",1,NA,2022,-70.773939,42.679464,1,"5/27/2022",5,27,"JLG","High/Rising","9:16",64,1,2,2,"Ipswich NAC East 5/27/2022  ","0-50m","ALFL",0,"AERIAL",3
"52","Ipswich NAC East","Ipswich","MA",2,"No Action",2,NA,2022,-70.773939,42.679464,2,"6/20/2022",6,20,"JLG","High/Falling","6:41",48,0,1,1,"Ipswich NAC East 6/20/2022  ","0-50m","ALFL",0,"AERIAL",3
"53","RM RUN","Round Marsh","RI",3,"Runnel",1,7,2021,-71.3694,41.5107,1,"5/19/2021",5,19,"ADF","Low/Rising","10:30",60,1,1,1,"RM RUN 5/19/2021  ","0-50m","ALFL",0,"AERIAL",3
"54","RM RUN","Round Marsh","RI",3,"Runnel",2,7,2021,-71.3694,41.5107,2,"6/7/2021",6,7,"ADF","Low/Falling","9:45",60,0,1,1,"RM RUN 6/7/2021  ","0-50m","ALFL",0,"AERIAL",3
"55","MM SHARP1","Moody Marsh","ME",2,"Runnel",2,10,2021,-70.59333,43.2664,3,"7/7/2021",7,7,"ARP/NA","High/Rising","7:54",77,0,1,1,"MM SHARP1 7/7/2021  ","0-50m","ALFL",0,"AERIAL",3
"56","MM SHARP1","Moody Marsh","ME",2,"Runnel",1,12,2023,-70.59333,43.2664,1,"6/7/2023",6,7,"JLG/LG","Low/Falling","6:13",54,1,1,1,"MM SHARP1 6/7/2023  ","0-50m","ALFL",0,"AERIAL",3
"57","WPF NAC","Weekapaug Foundation","RI",3,"No Action",2,NA,2023,-71.773506,41.330241,2,"6/2/2023",6,2,"JH","High/Rising","642",60,0,2,1,"WPF NAC 6/2/2023  ","0-50m","ALFL",0,"AERIAL",3
"58","DPR S Ref","Plum Island","MA",2,"Reference",1,NA,2023,-70.8123,42.777,1,"6/12/2023",6,12,"JGM","High/Falling","9:00",62,2,0,1,"DPR S Ref 6/12/2023  ","0-50m","ALFL",0,"AERIAL",3
"59","DPR S Ref","Plum Island","MA",2,"Reference",2,NA,2023,-70.8123,42.777,2,"7/21/2023",7,21,"JGM","Low","830",72,2,1,0,"DPR S Ref 7/21/2023  ","0-50m","ALFL",0,"AERIAL",3
"60","CN REF","Canonchet","RI",3,"Reference",2,NA,2023,-71.458492,41.444235,3,"7/15/2023",7,15,"JH","High/Falling","749",74,2,0,1,"CN REF 7/15/2023  ","0-50m","ALFL",0,"AERIAL",3
"61","CN RUN","Canonchet","RI",3,"Runnel",1,7,2022,-71.456262,41.44248,2,"6/2/2022",6,2,"SM","Low/Rising","611",57,2,1,1,"CN RUN 6/2/2022  ","0-50m","ALFL",0,"AERIAL",3
"62","MM SHARP2","Moody Marsh","ME",2,"Reference",2,NA,2021,-70.5891,43.2696,3,"7/7/2021",7,7,"ARP/NA","High/Rising","8:34",78,0,2,1,"MM SHARP2 7/7/2021  ","0-50m","ALFL",0,"AERIAL",3
"63","MM SHARP2","Moody Marsh","ME",2,"Reference",1,NA,2021,-70.5891,43.2696,2,"6/18/2021",6,18,"ARP/NA","High/Falling","8:33",68,0,1,1,"MM SHARP2 6/18/2021  ","0-50m","ALFL",0,"AERIAL",3
"64","RM REF","Round Marsh","RI",3,"Reference",2,NA,2021,-71.372664,41.509994,2,"6/7/2021",6,7,"ADF","Low/Falling","9:15",60,0,1,1,"RM REF 6/7/2021  ","0-50m","ALFL",0,"AERIAL",3
"65","DPS S NAC","Plum Island","MA",2,"No Action",1,NA,2023,-70.8107,42.7738,1,"6/12/2023",6,12,"JGM","High/Falling","8:30",60,2,0,1,"DPS S NAC 6/12/2023  ","0-50m","ALFL",0,"AERIAL",3
"66","Ipswich NAC West","Ipswich","MA",2,"No Action",1,NA,2022,-70.781622,42.678839,1,"5/27/2022",5,27,"JLG","High/Rising","8:16",63,2,3,1,"Ipswich NAC West 5/27/2022  ","0-50m","ALFL",0,"AERIAL",3
"67","MD RUN","Middlebridge","RI",3,"Runnel",1,7,2023,-71.449686,41.462694,2,"6/23/2023",6,23,"JH","Low","641",62,2,1,1,"MD RUN 6/23/2023  ","0-50m","ALFL",0,"AERIAL",3
"68","BCM SHARP2 - REF","Broad Cove","MA",2,"Reference",1,NA,2022,-71.13286,41.79348,1,"5/23/2022",5,23,"JLG","Low","8:44",64,2,3,3,"BCM SHARP2 - REF 5/23/2022  ","0-50m","ALFL",1,"AERIAL",3
"69","JP RUN","Jacob's Point","RI",3,"Runnel",2,7,2023,-71.2876,41.712,3,"7/12/2023",7,12,"JH","High/Falling","648",78,0,1,1,"JP RUN 7/12/2023  ","0-50m","ALFL",0,"AERIAL",3
"70","DPR S Ref","Plum Island","MA",2,"Reference",2,NA,2021,-70.8123,42.777,3,"7/7/2021",7,7,"JGM/NA","Low/Rising","8:15",73,0,3,1,"DPR S Ref 7/7/2021  ","0-50m","ALFL",0,"AERIAL",3
"71","NR NAC","Narrow River","RI",3,"No Action",1,NA,2023,-71.456087,41.451944,2,"6/23/2023",6,23,"JH","Low","721",63,2,1,1,"NR NAC 6/23/2023  ","0-50m","ALFL",0,"AERIAL",3
"72","NR NAC","Narrow River","RI",3,"No Action",2,NA,2023,-71.456087,41.451944,3,"7/10/2023",7,10,"JH","Low/Falling","654",70,2,2,1,"NR NAC 7/10/2023  ","0-50m","ALFL",0,"AERIAL",3
"73","NR REF","Narrow River","RI",3,"Reference",1,NA,2022,41.447894,-71.461905,1,"5/31/2022",5,31,"SM","High/Falling","1035",81,0,2,2,"NR REF 5/31/2022  ","0-50m","ALFL",0,"AERIAL",3
"74","BCM SHARP3 - RUN","Broad Cove","MA",2,"Runnel",2,5,2022,-71.13327,41.7925,2,"6/22/2022",6,22,"JLG","Low/Falling","7:08",61,2,1,2,"BCM SHARP3 - RUN 6/22/2022  ","0-50m","ALFL",0,"AERIAL",3
"75","NR REF","Narrow River","RI",3,"Reference",1,NA,2023,-71.461905,41.447894,2,"6/24/2023",6,24,"JH","Low","729",67,5,0,1,"NR REF 6/24/2023  ","0-50m","ALFL",0,"AERIAL",3
"76","NR REF","Narrow River","RI",3,"Reference",2,NA,2023,-71.461905,41.447894,3,"7/10/2023",7,10,"JH","Low/Falling","716",70,2,3,1,"NR REF 7/10/2023  ","0-50m","ALFL",0,"AERIAL",3
"77","NR RUN","Narrow River","RI",3,"Runnel",1,6,2022,41.444954,-71.464571,2,"6/2/2022",6,2,"SM","High","1026",63,2,1,1,"NR RUN 6/2/2022  ","0-50m","ALFL",0,"AERIAL",3
"78","NR RUN","Narrow River","RI",3,"Runnel",2,6,2022,41.444954,-71.464571,3,"6/29/2022",6,29,"JH","High/Falling","1000",71,1,1,1,"NR RUN 6/29/2022  ","0-50m","ALFL",0,"AERIAL",3
"79","DPS S NAC","Plum Island","MA",2,"No Action",2,NA,2023,-70.8107,42.7738,2,"7/21/2023",7,21,"JGM","Low/Falling","755",70,1,2,0,"DPS S NAC 7/21/2023  ","0-50m","ALFL",0,"AERIAL",3
"80","Essex NAC North","Essex","MA",2,"No Action",1,NA,2022,-70.776608,42.651283,1,"5/27/2022",5,27,"JLG","Low/Rising","6:17",61,2,3,3,"Essex NAC North 5/27/2022  ","0-50m","ALFL",0,"AERIAL",3
"81","MD RUN","Middlebridge","RI",3,"Runnel",2,7,2023,-71.449686,41.462694,3,"7/10/2023",7,10,"JH","Low/Rising","846",70,2,2,1,"MD RUN 7/10/2023  ","0-50m","ALFL",0,"AERIAL",3
"82","MM SHARP1","Moody Marsh","ME",2,"Runnel",1,10,2021,-70.59333,43.2664,2,"6/18/2021",6,18,"ARP/NA","High/Falling","7:49",62,0,1,2,"MM SHARP1 6/18/2021  ","0-50m","ALFL",0,"AERIAL",3
"83","NR NAC","Narrow River","RI",3,"No Action",1,NA,2022,-71.456087,41.451944,1,"5/31/2022",5,31,"SM","High","953",76,0,1,1,"NR NAC 5/31/2022  ","0-50m","ALFL",0,"AERIAL",3
"84","Essex RUN North","Essex","MA",2,"Runnel",2,1,2023,-70.775369,42.651917,2,"7/19/2023",7,19,"JGM","Low/Rising","800",72,2,1,2,"Essex RUN North 7/19/2023  ","0-50m","ALFL",0,"AERIAL",3
"85","WPF NAC","Weekapaug Foundation","RI",3,"No Action",1,NA,2023,-71.773506,41.330241,1,"5/20/2023",5,20,"JH","Low/Rising","727",60,2,1,1,"WPF NAC 5/20/2023  ","0-50m","ALFL",0,"AERIAL",3
"86","WPF NAC","Weekapaug Foundation","RI",3,"No Action",1,NA,2021,-71.773506,41.330241,1,"5/10/2021",5,10,"ADF","High/Rising","7:00",46,2,2,1,"WPF NAC 5/10/2021  ","0-50m","ALFL",0,"AERIAL",3
"87","PLHA RUN North","Plum Island","MA",2,"Runnel",2,4,2023,-70.806447,42.764928,2,"7/21/2023",7,21,"JLG","Low/Falling","752",72,1,1,1,"PLHA RUN North 7/21/2023  ","0-50m","ALFL",0,"AERIAL",3
"88","PLHA RUN South","Plum Island","MA",2,"Runnel",1,0,2022,-70.805311,42.757836,1,"6/1/2022",6,1,"JLG","Low","9:39",58,2,2,2,"PLHA RUN South 6/1/2022  ","0-50m","ALFL",0,"AERIAL",3
"89","PLHA RUN South","Plum Island","MA",2,"Runnel",2,3,2022,-70.805311,42.757836,2,"6/28/2022",6,28,"JLG","Low/Rising","9:43",70,0,2,2,"PLHA RUN South 6/28/2022  ","0-50m","ALFL",0,"AERIAL",3
"90","OTH RUN","Old Town Hill","MA",2,"Runnel",1,2,2023,-70.859639,42.771683,1,"6/6/2023",6,6,"JLG","Low/Falling","8:41",60,1,2,2,"OTH RUN 6/6/2023  ","0-50m","ALFL",0,"AERIAL",3
"91","CN RUN","Canonchet","RI",3,"Runnel",2,8,2023,-71.456262,41.44248,3,"7/15/2023",7,15,"JH","High/Falling","728",74,2,0,1,"CN RUN 7/15/2023  ","0-50m","ALFL",0,"AERIAL",3
"92","DPR N Ref","Plum Island","MA",2,"Reference",1,NA,2021,-70.81001,42.78261,2,"6/23/2021",6,23,"ARP/NA","Low/Rising","7:03",57,0,3,0,"DPR N Ref 6/23/2021  ","0-50m","ALFL",0,"AERIAL",3
"93","DPR N Ref","Plum Island","MA",2,"Reference",2,NA,2021,-70.81001,42.78261,3,"7/7/2021",7,7,"JGM/NA","High/Rising","9:00",73,0,3,1,"DPR N Ref 7/7/2021  ","0-50m","ALFL",0,"AERIAL",3
"94","BCM SHARP1 - NAC","Broad Cove","MA",2,"No Action",1,NA,2022,-71.1339,41.795,1,"5/23/2022",5,23,"JLG","Low","8:22",66,2,2,3,"BCM SHARP1 - NAC 5/23/2022  ","0-50m","ALFL",0,"AERIAL",3
"95","MM SHARP3","Moody Marsh","ME",2,"No Action",2,NA,2023,-70.5924,43.2702,2,"7/17/2023",7,17,"JGM","Low","857",73,1,2,2,"MM SHARP3 7/17/2023  ","0-50m","ALFL",0,"AERIAL",3
"96","DPR S Ref","Plum Island","MA",2,"Reference",1,NA,2021,-70.8123,42.777,2,"6/23/2021",6,23,"ARP/NA","Low/Rising","8:05",63,0,3,0,"DPR S Ref 6/23/2021  ","0-50m","ALFL",0,"AERIAL",3
"97","PINE N RUN SHARP","Pine Island","MA",2,"Runnel",2,6,2021,-70.83,42.7696,3,"7/7/2021",7,7,"JLG/NA","Low","6:14",72,1,1,1,"PINE N RUN SHARP 7/7/2021  ","0-50m","ALFL",0,"AERIAL",3
"98","PINE N RUN SHARP","Pine Island","MA",2,"Runnel",1,8,2023,-70.83,42.7696,1,"6/8/2023",6,8,"JGM","Low/Falling","7:50",55,2,1,0,"PINE N RUN SHARP 6/8/2023  ","0-50m","ALFL",0,"AERIAL",3
"99","PINE N RUN SHARP","Pine Island","MA",2,"Runnel",2,8,2023,-70.83,42.7696,2,"7/18/2023",7,18,"JGM","Low/Rising","1029",77,2,1,0,"PINE N RUN SHARP 7/18/2023  ","0-50m","ALFL",0,"AERIAL",3
"100","DPR S Rest","Plum Island","MA",2,"Runnel",1,4,2021,-70.809,42.7777,2,"6/23/2021",6,23,"ARP/NA","Low/Rising","7:45",63,0,3,0,"DPR S Rest 6/23/2021  ","0-50m","ALFL",0,"AERIAL",3
"101","DPR S Rest","Plum Island","MA",2,"Runnel",2,4,2021,-70.809,42.7777,3,"7/7/2021",7,7,"JGM/NA","Low/Rising","8:32",73,0,3,1,"DPR S Rest 7/7/2021  ","0-50m","ALFL",0,"AERIAL",3
"102","DPR S Rest","Plum Island","MA",2,"Runnel",1,4,2023,-70.809,42.7777,1,"6/12/2023",6,12,"JGM","High/Falling","9:20",60,2,1,1,"DPR S Rest 6/12/2023  ","0-50m","ALFL",0,"AERIAL",3
"103","DPR S Rest","Plum Island","MA",2,"Runnel",2,4,2023,-70.809,42.7777,2,"7/21/2023",7,21,"JGM","Low","900",73,2,1,0,"DPR S Rest 7/21/2023  ","0-50m","ALFL",0,"AERIAL",3
"104","PINE S REF SHARP","Pine Island","MA",2,"Reference",1,NA,2021,-70.82514,42.7653,2,"6/23/2021",6,23,"JLG/JGM","High/Rising","9:24",63,0,3,1,"PINE S REF SHARP 6/23/2021  ","0-50m","ALFL",0,"AERIAL",3
"105","RM REF","Round Marsh","RI",3,"Reference",1,NA,2021,-71.372664,41.509994,1,"5/19/2021",5,19,"ADF","High/Rising","10:00",60,0,1,1,"RM REF 5/19/2021  ","0-50m","ALFL",0,"AERIAL",3
"106","Ipswich RUN East","Ipswich","MA",2,"Runnel",2,0,2022,-70.775144,42.680281,2,"6/20/2022",6,20,"JLG","High/Falling","7:15",54,0,1,2,"Ipswich RUN East 6/20/2022  ","0-50m","ALFL",0,"AERIAL",3
"107","DPR N Rest","Plum Island","MA",2,"Runnel",1,6,2023,-70.8095,42.7798,1,"6/12/2023",6,12,"JGM","High/Falling","9:40",60,2,1,1,"DPR N Rest 6/12/2023  ","0-50m","ALFL",0,"AERIAL",3
"108","DPR N Rest","Plum Island","MA",2,"Runnel",2,4,2023,-70.8095,42.7798,2,"7/21/2023",7,21,"JGM","Low","920",72,2,1,0,"DPR N Rest 7/21/2023  ","0-50m","ALFL",0,"AERIAL",3
"109","PINE S RUN SHARP","Pine Island","MA",2,"Runnel",2,8,2023,-70.82254,42.764,2,"7/18/2023",7,18,"JGM","Low/Rising","812",73,2,1,0,"PINE S RUN SHARP 7/18/2023  ","0-50m","ALFL",0,"AERIAL",3
"110","Essex NAC North","Essex","MA",2,"No Action",2,NA,2023,-70.776608,42.651283,2,"7/19/2023",7,19,"JGM","Low/Rising","745",72,1,1,2,"Essex NAC North 7/19/2023  ","0-50m","ALFL",0,"AERIAL",3
"111","Essex NAC South","Essex","MA",2,"No Action",1,NA,2022,-70.771131,42.651806,1,"5/27/2022",5,27,"JLG","Low/Rising","7:14",62,1,3,3,"Essex NAC South 5/27/2022  ","0-50m","ALFL",0,"AERIAL",3
"112","Essex NAC South","Essex","MA",2,"No Action",2,NA,2022,-70.771131,42.651806,2,"6/20/2022",6,20,"JLG","High/Falling","10:26",66,0,2,1,"Essex NAC South 6/20/2022  ","0-50m","ALFL",0,"AERIAL",3
