RegionID,State,PointID,Treatment,LowMarshCC,HighMarshCC,SaltMarshTBorderCC,BrackishTBorderCC,InvasivesCC,PannesChannelsCC,OpenWater,UplandCC,Wrack,DeadSnags,SPALT_SHORT,SPALT_TALL,SPPAT,DISPI,JUGER,IVFRU,PHAUS,FORBS,RUMAR
2,RI,JP RUN,RUN,0,6,0,0,3,0.5,0,0,0,1,0,0,10,10,50,25,5,0,0
3,MA,Kents NAC,NAC,1,6,1,0,0,2,0,1,0,0,55,0,25,5,0,0,0,0,0
3,MA,Kents REF,REF,0.5,6,0,0,0,1,0,0,0,0,20,5,65,10,0,0,0,0,0
2,MA,Kents RUN,RUN,0,6,0.5,0,0,1,0,0,0.5,0,55,0,40,0,0,0,0,0,0
3,RI,MD NAC,NAC,0.5,4,2,0,0,5,1,1,0,3,25,0,0,5,0,0,0,5,0
3,RI,MD REF,REF,1,6,2,0,0,1,2,1,0,8,60,0,5,0,0,10,0,5,0
2,RI,MD RUN,RUN,1,5,1,0,0,1,2,1,0,1,55,5,15,5,0,5,0,0,0
3,ME,MM SHARP3,NAC,0.5,4,0,0,0,4,0,0,0,0,25,0,15,10,0,0,0,0,10
2,ME,MM SHARP2,REF,1,6,0,0,0,3,0.5,0,0,0,5,5,30,50,0,0,0,0,0
2,ME,MM SHARP1,RUN,0.5,5,0,0,0,4,0,0,0,0,40,0,25,5,0,0,0,0,0
3,RI,NR NAC,NAC,1,6,0.5,0,0.5,3,0,0,0,0,70,0,5,10,5,0,0,0,0
3,RI,NR REF,REF,0.5,6,0,1,1,2,0,0,0,0,65,0,15,10,5,0,0,0,0
2,RI,NR RUN,RUN,3,6,2,0.5,0,3,0.5,1,0,0,40,0,20,5,5,10,0,0,0
3,MA,OTH NAC,NAC,2,5,0,0,1,3,0,0,0.5,0,75,0,5,0,0,0,0,0,0
3,MA,OTH REF,REF,2,5,1,1,1,2,0,0,1,0,0,10,0,20,55,0,0,0,0
2,MA,OTH RUN,RUN,2,6,0,0,0,2,0,0,0,0,65,5,15,10,0,0,0,0,0
2,MA,PINE N REF SHARP,REF,3,6,0,0,0,1,0,0,0,0,20,10,35,20,5,0,0,0,0
2,MA,PINE N RUN SHARP,RUN,1,5,0,0,0,4,0,0,0.5,0,15,0,30,5,15,0,0,0,0
3,MA,PINE NAC SHARP,NAC,0,5,0,0,0,4,0,0,0.5,0,50,0,10,0,0,0,0,0,0
2,MA,PINE S REF SHARP,REF,3,5,0,0,0,2,0,0,0,0,5,20,40,20,0,0,0,0,0
2,MA,PINE S RUN SHARP,RUN,3,5,0.5,0,0,3,0,0,0,0,10,20,40,10,0,0,0,0,0
3,MA,PLHA NAC,NAC,2,4,0,0,0,4,0,0,0,0,30,10,15,0,0,0,0,0,0
2,MA,PLHA REF North,REF,3,6,0,0,0,2,0,0,0,0,20,10,45,5,5,0,0,0,0
2,MA,PLHA REF South,REF,1,6,0,0,0,2,0,0,0,0,5,5,40,35,10,0,0,0,0
2,MA,PLHA RUN North,RUN,0,4,0,0,0,5,0,0,0,1,35,0,10,0,0,0,0,0,15
2,MA,PLHA RUN South,RUN,0,5,0,0,1,4,0,0.5,0,2,25,0,35,5,0,0,0,0,0
3,RI,PP NAC,NAC,3,5,0.5,0,0,2,0,0,0,0,55,15,20,0,0,0,0,0,0
3,RI,PP REF,REF,1,3,3,0,1,1,4,1,0.5,0,35,0,5,0,10,10,0,0,0
2,RI,PP RUN,RUN,2,3,0,0,1,5,0,0,0,0,25,5,10,0,0,0,0,0,0
3,RI,RM NAC,NAC,1,6,0,0,0,1,0,0,0,0,70,10,15,5,0,0,0,0,0
3,RI,RM REF,REF,1,6,0,0,0,0.5,0,0,0.5,0,70,5,10,10,0,0,0,0,0
2,RI,RM RUN,RUN,1,6,0,0,0,1,0,0,0.5,0,70,5,10,5,5,0,0,0,0
2,RI,SP NAC,NAC,2,4,0,0,0,4,1,0,0.5,0,27,0,5,15,0,0,0,10,0
3,RI,SP REF,REF,1,5,2,0,0,1,3,1,0.5,1,20,0,5,40,25,5,0,0,0
2,RI,SP RUN North,RUN,2,4,1,0,1,4,0,0.5,0.5,0,35,5,10,15,0,0,0,0,0
2,RI,SP RUN South,RUN,1,4,1,0,0,5,3,1,0,1,20,0,5,10,0,0,0,0,0
3,RI,WPF NAC,NAC,2,5,1,0,0,3,0,1,0.5,3,50,10,0,5,0,0,0,0,0
2,RI,WPF RUN,RUN,1,6,1,0,0,2,0,0.5,0,2,50,0,0,15,0,10,0,0,0
3,RI,WPTL NAC,NAC,1,5,3,0,0.5,3,0,1,0.5,1,60,0,5,10,0,0,0,5,0
3,RI,WPTL REF,REF,1,6,0,0,0,1,2,0,0.5,0,25,20,10,0,0,0,0,5,0
2,RI,WPTL RUN,RUN,1,6,2,0,0,1,0,1,0.5,2,60,5,5,15,0,5,0,0,0
